Year,State,FIPS,County_name,State_name,Commodity,Data item,Irrigated,Yield
2008,31,31019,BUFFALO,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,173
2008,31,31019,BUFFALO,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,182
2008,31,31041,CUSTER,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,163
2008,31,31041,CUSTER,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,182
2008,31,31047,DAWSON,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,177
2008,31,31047,DAWSON,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,180
2008,31,31077,GREELEY,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,172
2008,31,31077,GREELEY,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,184
2008,31,31079,HALL,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,171
2008,31,31079,HALL,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,175
2008,31,31093,HOWARD,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,164
2008,31,31093,HOWARD,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,175
2008,31,31163,SHERMAN,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,170
2008,31,31163,SHERMAN,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,187
2008,31,31175,VALLEY,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,171
2008,31,31175,VALLEY,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,179
2008,31,31023,BUTLER,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,160
2008,31,31023,BUTLER,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,181
2008,31,31025,CASS,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,144
2008,31,31037,COLFAX,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,157
2008,31,31037,COLFAX,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,184
2008,31,31053,DODGE,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,156
2008,31,31053,DODGE,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,176
2008,31,31055,DOUGLAS,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,133
2008,31,31081,HAMILTON,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,192
2008,31,31081,HAMILTON,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,196
2008,31,31109,LANCASTER,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,140
2008,31,31109,LANCASTER,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,170
2008,31,31121,MERRICK,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,154
2008,31,31121,MERRICK,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,157
2008,31,31125,NANCE,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,165
2008,31,31125,NANCE,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,185
2008,31,31000,OTHER (COMBINED) COUNTIES,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,156
2008,31,31141,PLATTE,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,176
2008,31,31141,PLATTE,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,191
2008,31,31143,POLK,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,159
2008,31,31143,POLK,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,164
2008,31,31153,SARPY,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,151
2008,31,31153,SARPY,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,162
2008,31,31155,SAUNDERS,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,149
2008,31,31155,SAUNDERS,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,179
2008,31,31159,SEWARD,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,162
2008,31,31159,SEWARD,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,176
2008,31,31177,WASHINGTON,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,154
2008,31,31177,WASHINGTON,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,176
2008,31,31185,YORK,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,184
2008,31,31185,YORK,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,188
2008,31,31015,BOYD,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,122
2008,31,31015,BOYD,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,195
2008,31,31017,BROWN,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,187
2008,31,31031,CHERRY,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,190
2008,31,31071,GARFIELD,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,171
2008,31,31071,GARFIELD,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,180
2008,31,31089,HOLT,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,184
2008,31,31089,HOLT,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,188
2008,31,31103,KEYA PAHA,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,152
2008,31,31103,KEYA PAHA,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,170
2008,31,31113,LOGAN,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,156
2008,31,31113,LOGAN,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,182
2008,31,31115,LOUP,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,170
2008,31,31000,OTHER (COMBINED) COUNTIES,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,167
2008,31,31000,OTHER (COMBINED) COUNTIES,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,186
2008,31,31149,ROCK,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,190
2008,31,31183,WHEELER,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,151
2008,31,31183,WHEELER,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,156
2008,31,31003,ANTELOPE,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,176
2008,31,31003,ANTELOPE,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,193
2008,31,31011,BOONE,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,170
2008,31,31011,BOONE,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,185
2008,31,31021,BURT,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,159
2008,31,31021,BURT,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,190
2008,31,31027,CEDAR,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,159
2008,31,31027,CEDAR,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,195
2008,31,31039,CUMING,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,160
2008,31,31039,CUMING,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,202
2008,31,31043,DAKOTA,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,172
2008,31,31051,DIXON,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,162
2008,31,31107,KNOX,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,135
2008,31,31107,KNOX,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,188
2008,31,31119,MADISON,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,150
2008,31,31119,MADISON,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,171
2008,31,31000,OTHER (COMBINED) COUNTIES,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,193
2008,31,31139,PIERCE,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,171
2008,31,31139,PIERCE,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,197
2008,31,31167,STANTON,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,143
2008,31,31167,STANTON,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,185
2008,31,31173,THURSTON,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,163
2008,31,31179,WAYNE,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,167
2008,31,31179,WAYNE,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,200
2008,31,31007,BANNER,NEBRASKA,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,104
2008,31,31007,BANNER,NEBRASKA,CORN,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,136
