x,20_WW_BL_TP1,20_WW_BL_TP3,20_WW_BL_TP5,10_WW_BL_TP1,10_WW_BL_TP3,10_WW_BL_TP5,5_WW_BL_TP1,5_WW_BL_TP3,5_WW_BL_TP5,20_D_BL_TP1,20_D_BL_TP3,20_D_BL_TP5,10_D_BL_TP1,10_D_BL_TP3,10_D_BL_TP5,5_D_BL_TP1,5_D_BL_TP3,5_D_BL_TP5,Gap1,20_WW_ML_TP1,20_WW_ML_TP3,20_WW_ML_TP5,10_WW_ML_TP1,10_WW_ML_TP3,10_WW_ML_TP5,5_WW_ML_TP1,5_WW_ML_TP3,5_WW_ML_TP5,20_D_ML_TP1,20_D_ML_TP3,20_D_ML_TP5,10_D_ML_TP1,10_D_ML_TP3,10_D_ML_TP5,5_D_ML_TP1,5_D_ML_TP3,5_D_ML_TP5,Gap2,20_WW_TL_TP1,20_WW_TL_TP3,20_WW_TL_TP5,10_WW_TL_TP1,10_WW_TL_TP3,10_WW_TL_TP5,5_WW_TL_TP1,5_WW_TL_TP3,5_WW_TL_TP5,20_D_TL_TP1,20_D_TL_TP3,20_D_TL_TP5,10_D_TL_TP1,10_D_TL_TP3,10_D_TL_TP5,5_D_TL_TP1,5_D_TL_TP3,5_D_TL_TP5
Zm00001d004894,201895.51,69076.11,72760.03,77205.70889,95402.46794,61917.01441,253115.9299,93542.98648,61529.14755,122031.29,84574.19,37110.66,137663.5142,53508.16458,32752.22679,108242.3941,68749.88357,48468.89681,0,155241.74,29436.65,32385.42,53044.23678,46665.63747,36668.00614,183468.523,60773.83657,40240.38029,78420.26,39174.63,29796.96,62789.8294,38085.68319,36128.31511,47677.32408,41128.08493,36050.64978,0,55775.57,14201.15,16987.09,31676.35117,19028.48436,18025.34296,33380.06029,47971.09459,17848.51802,17788.15,15606.16,16122,16721.72616,14337.29612,14419.44477,18523.07682,18434.63297,24148.10644
Zm00001d024027,23597.6,18233.77,15107.73,5784.086731,15671.83761,14565.08854,69753.56687,20631.8248,11279.55184,63497.67,71580.23,36534.18,61467.15076,57604.92359,34336.92796,68500.33802,55142.23573,47172.58163,0,6960.81,9231.1,7784.48,4098.734832,7238.195284,8845.864471,18178.18108,8035.975434,8381.550588,30063.59,27945.64,13509.43,22950.88587,28875.33562,15094.13635,26203.57055,30347.71635,19744.05672,0,4271.78,4959.36,4318.74,3360.34549,4146.727309,6231.25553,5996.151492,7060.739018,6965.615971,14828.44,14843.03,6443.96,12663.97488,14593.98011,8708.073949,16529.47539,17736.90887,10798.44971
Zm00001d013493,2942.2,2838.07,51333.7,660.6777734,2540.787519,50133.68599,1343.955698,2183.836182,60956.06041,4762.5,5687.55,57450.94,3351.089425,6589.289509,61248.14162,2096.745481,7365.102771,59295.82888,0,1318.38,1733.54,20532.32,302.9120607,754.1859214,25709.87494,538.4701074,1132.868388,21827.06315,1232.09,3255.31,34436.78,985.3678108,2595.579036,38247.62462,1372.261846,2042.695484,44579.51215,0,1699.66,1358.1,4068.59,533.1193818,307.080406,5154.000826,436.2406463,837.3927501,2656.232135,689.23,1524.34,10105.51,1801.396246,762.5347363,8401.562362,816.1725598,1195.750972,8690.377522
Zm00001d049099,7315.4,10716.39,19083.67,12768.05947,13715.23241,25844.83635,7231.218859,8602.837197,29717.85654,6615.04,8768.95,21038.67,7296.585248,9984.308459,25332.66012,7840.471119,8969.775629,21324.14743,0,13270.49,18576.65,19183.92,15651.47204,23844.88387,29733.73445,12591.46614,14326.60252,31145.40541,11474.74,15780.73,21093.92,11457.90497,17899.36367,23507.60417,16214.87704,14501.53291,22822.47636,0,14246.33,12592.9,12298.22,14166.04951,17217.93457,18247.92282,15424.95954,14714.33236,17080.14768,11077.32,16166.36,13238.52,11645.04742,15066.98432,14098.62686,13747.88306,13715.2455,14788.08527
Zm00001d053394,4462.86,9269.38,18351.47,9953.255368,13088.93997,21315.36503,4430.375616,9206.220104,19537.89653,2912.43,4857.91,9711.02,3887.16221,5507.008888,15058.98138,3813.227025,3672.76287,14003.06612,0,6082.76,11180.07,12211.11,12305.19428,16928.01624,19969.61622,5430.132129,10647.96971,20939.26982,5140.51,7388.02,9358.31,4849.537159,7577.095166,12809.10131,7273.404596,7575.058281,10962.0822,0,8420.45,15332.96,14609.97,15965.13442,20888.54102,25839.24517,9350.510014,17130.45071,21480.4405,7808.26,11063.23,8419.6,8324.085238,11906.16485,9795.447074,8902.050991,9618.590312,11884.40002
Zm00001d047765,5893.36,6607.61,13839.61,6917.903547,8185.493473,17190.72127,6265.280862,5566.964628,11815.20111,6438.61,7972.8,10631.13,6761.587204,7381.062265,14265.86119,6019.392848,5983.091829,13653.07084,0,9443.16,7177.83,9987.52,10457.992,9354.044967,12270.68354,9363.327815,8017.205684,10788.83538,10065.54,9910.29,11508.73,8924.262409,10537.15002,12871.6024,9360.080995,7868.704013,12359.59649,0,8409.51,7300.39,9491.24,9061.013395,9329.343698,13093.04962,8720.737916,9666.72648,9758.58106,10151.12,9189.25,8275.97,10120.28873,9958.322239,9174.599992,9696.648843,7250.92903,9640.949818
Zm00001d006008,4634.87,5991.65,7866.27,7025.211107,6733.42241,9068.27294,3428.989412,4806.096077,10956.70531,3181.44,3315.53,5238.87,3131.787055,4106.020911,6640.526659,3237.311486,4327.972065,5196.528831,0,8301.43,10115.79,10033.83,8575.254316,11252.95262,15267.95337,7361.989454,8321.551524,14903.23586,5393.08,7663.32,8577.91,6015.994269,7608.378685,8996.496552,6660.840019,7382.174242,9151.899501,0,10400.9,7526.72,9505.89,10667.60198,8260.020536,12436.30492,9897.384336,9536.330466,11402.78869,6549.65,6910.03,6079.44,7217.18556,6621.082153,7000.190541,8530.380838,7117.005504,8913.687544
Zm00001d000279,31291.7,8952.11,6089.91,6574.731872,10050.49773,4095.839668,42739.31465,9271.834102,4256.869298,27379.41,12801.49,4980.33,29976.20404,12906.15181,2939.294041,17856.6021,17613.70376,6903.045501,0,7492.71,2789.19,2549.96,2817.237313,3358.079072,2603.882175,15668.69591,3672.177065,3231.269089,9220.61,4626.84,2462.08,7743.200859,3586.92009,2382.601451,4411.425682,5674.810924,3349.456807,0,3314.64,1586.47,2090.99,2502.509519,1895.56848,2092.106158,2802.09604,3221.852021,1899.914975,2744.21,2319.59,1822.09,2074.767784,2019.5876,1859.226942,2596.48935,2080.706473,2546.504932
Zm00001d006402,33402.09,9642.97,6740.4,7165.349439,10743.21391,4489.011287,43149.84857,9937.608298,4748.331408,28680.64,12897.52,5380.93,30260.80018,13798.11207,3279.419729,18896.49577,19126.60635,7423.700662,0,8202.05,3311.63,2968.35,3325.876438,3882.196645,3122.384362,16759.8803,4119.404574,3644.205141,9727.23,5018.56,2869.64,8526.086387,3972.976493,2720.432203,4965.415917,6265.047704,3758.59405,0,3874.4,1863.68,2537.44,2953.304526,2290.769842,2577.55039,3172.446981,3609.358306,2408.911874,3198.47,2684.67,2193.81,2440.246092,2277.100708,2145.595295,2983.518774,2498.646968,2899.846063
GRMZM5G815453,24121.8,6868.58,4609.94,5075.78852,7726.563574,3122.709613,33291.611,7170.513393,3248.477919,21117.62,9931.64,3907.03,23091.64332,9877.883267,2266.935719,13798.19903,13651.96351,5343.697778,0,5745.72,2080.27,1980.99,2154.570866,2606.470315,2031.796465,12052.4421,2845.869647,2533.264455,7076.02,3638.57,1920.67,6065.325148,2811.816649,1904.83835,3434.337371,4370.260787,2583.139836,0,2533.16,1213.17,1627.99,1921.850153,1508.454819,1605.25266,2156.460183,2480.892319,1483.720673,2138.6,1848.52,1451.41,1591.516101,1567.038421,1442.046975,1971.978749,1676.547499,1996.007145
